method,feature,n,mean,std,median,q25,q75,min,max
ABodyBuilder2,h3_entropy,565,2.7971852488884417,0.4162311860689575,2.846439344671015,2.5216406363433186,3.095795255000934,0.9182958340544896,3.794653473544342
IGFold,h3_entropy,571,2.799445919456169,0.41501063474478983,2.8522170014624826,2.5220552088742005,3.0957952550009344,0.9182958340544896,3.794653473544342
ABodyBuilder2,h3_frac_aromatic,565,0.26831432770417996,0.13888404865928655,0.25,0.1538461538461538,0.3636363636363636,0.0,0.7142857142857143
IGFold,h3_frac_aromatic,571,0.2667193352924816,0.13948207871086699,0.25,0.1538461538461538,0.3636363636363636,0.0,0.7142857142857143
ABodyBuilder2,h3_frac_gly_pro,565,0.16101738521313744,0.10034156689057838,0.1538461538461538,0.0909090909090909,0.2222222222222222,0.0,0.6
IGFold,h3_frac_gly_pro,571,0.16067722454867814,0.10001877410963332,0.15,0.0909090909090909,0.2222222222222222,0.0,0.6
ABodyBuilder2,h3_frac_hydrophobic,565,0.47803904511098994,0.13047263925857527,0.4666666666666667,0.3888888888888889,0.5714285714285714,0.0,0.8461538461538461
IGFold,h3_frac_hydrophobic,571,0.47678112370870473,0.1315477341003883,0.4666666666666667,0.3846153846153846,0.5669642857142857,0.0,0.8461538461538461
ABodyBuilder2,h3_kd_mean,565,-0.5073557739787985,0.7378069605115092,-0.5588235294117647,-1.03,-0.05,-2.7428571428571433,1.7444444444444445
IGFold,h3_kd_mean,571,-0.5113302060447575,0.7413989187532448,-0.56,-1.0320512820512822,-0.05357142857142855,-2.7428571428571433,1.7444444444444445
ABodyBuilder2,h3_kmer3_rarity_dataset,565,3.080484955077453,0.28308368346844887,3.0974771046908685,2.907673322937854,3.2867309328948484,2.018037488837234,3.7074269635653474
IGFold,h3_kmer3_rarity_dataset,571,3.0836441559589565,0.2846718255627484,3.0979834774610566,2.910016958843003,3.2929916668186783,2.018037488837234,3.7074269635653474
ABodyBuilder2,h3_len,565,11.916814159292036,3.8141882997060805,12.0,9.0,14.0,3.0,23.0
IGFold,h3_len,571,11.90367775831874,3.7983612063458185,12.0,9.0,14.0,3.0,23.0
ABodyBuilder2,h3_net_charge_pH7,565,-1.2008849557522123,1.2839638021579864,-1.0,-2.0,0.0,-5.0,3.1
IGFold,h3_net_charge_pH7,571,-1.189492119089317,1.2869908822824399,-1.0,-2.0,0.0,-5.0,3.1
ABodyBuilder2,h3_num_unique,565,7.982300884955753,2.1010901463108973,8.0,7.0,9.0,2.0,15.0
IGFold,h3_num_unique,571,7.989492119089317,2.0934052476952796,8.0,7.0,9.0,2.0,15.0
ABodyBuilder2,pred_conf_fv_bfac_mean,565,0.32649485309734516,0.08876430054062259,0.308926,0.268684,0.367682,0.130153,1.056077
IGFold,pred_conf_fv_bfac_mean,571,0.3949275569176882,0.0953982601753238,0.373974,0.3388795,0.426462,0.243416,1.145862
ABodyBuilder2,pred_conf_h3_bfac_mean,565,1.1066395840707963,0.5208474503317116,1.06,0.675,1.439231,0.111,2.946957
IGFold,pred_conf_h3_bfac_mean,571,1.2309996269702277,0.4710143998445281,1.185,0.8368185,1.5599375,0.363333,2.885217
