id,method,label,h3_rmsd,h3_len,h3_has_glyco_motif,h3_has_cys,bound_state
9ECX,IGFold,9ECX_CD,13.401352153340223,19,False,False,
7SL5,ABodyBuilder2,7SL5_AB,13.279830127323876,23,False,False,
9ECX,ABodyBuilder2,9ECX_CD,13.270155267329883,19,False,False,
7U0E,IGFold,7U0E_AB,11.211210285230749,17,False,False,
8GBV,ABodyBuilder2,8GBV_AB,10.807824085771289,20,False,False,
8GBW,IGFold,8GBW_HL,10.566142075577202,20,False,False,
7U0E,ABodyBuilder2,7U0E_AB,10.502905241234693,17,False,False,
9MPB,ABodyBuilder2,9MPB_HL,10.43485501923132,23,False,False,
9GVO,ABodyBuilder2,9GVO_HH,10.349366239349312,13,False,False,
8GBX,IGFold,8GBX_HL,10.313162725051718,20,False,False,
