id,method,label,h3_rmsd,h3_len,h3_has_glyco_motif,h3_has_cys,bound_state
8ELQ_HL,ABodyBuilder2,8ELQ_HL,0.224244,9,False,False,bound
8AV9_HL,ABodyBuilder2,8AV9_HL,0.256669,10,False,False,bound
7UDH_EF,ABodyBuilder2,7UDH_EF,0.34009,10,False,False,bound
9CPU_FG,ABodyBuilder2,9CPU_FG,0.415586,9,False,False,bound
7WGT_HL,ABodyBuilder2,7WGT_HL,0.420157,10,False,False,bound
9DQ4_HL,ABodyBuilder2,9DQ4_HL,0.424096,9,False,False,bound
8Z2E_HL,ABodyBuilder2,8Z2E_HL,0.489821,9,False,False,bound
8QH0_HL,ABodyBuilder2,8QH0_HL,0.500757,9,False,False,bound
9MI7_HL,ABodyBuilder2,9MI7_HL,0.510509,11,False,False,unbound
8Z95_AB,ABodyBuilder2,8Z95_AB,0.529922,5,False,False,unbound
7WBZ_HL,ABodyBuilder2,7WBZ_HL,0.53658,9,False,False,bound
8RPB_HL,ABodyBuilder2,8RPB_HL,0.551357,7,False,False,bound
8RWB_HL,ABodyBuilder2,8RWB_HL,0.56533,7,False,False,bound
9EZE_BC,ABodyBuilder2,9EZE_BC,0.581407,8,False,False,bound
7WNB_HL,ABodyBuilder2,7WNB_HL,0.595936,9,False,False,bound
8SJK_BA,ABodyBuilder2,8SJK_BA,0.601777,11,False,False,unbound
9SG2_HL,ABodyBuilder2,9SG2_HL,0.607085,10,False,False,bound
9UVI_BA,ABodyBuilder2,9UVI_BA,0.613988,10,False,False,bound
7XS8_AL,ABodyBuilder2,7XS8_AL,0.627624,9,False,False,bound
7UEM_DC,ABodyBuilder2,7UEM_DC,0.62898,9,False,False,unbound
8CWJ_AB,ABodyBuilder2,8CWJ_AB,0.640813,10,False,False,bound
9F90_DC,ABodyBuilder2,9F90_DC,0.644138,10,False,False,bound
8GSI_BA,ABodyBuilder2,8GSI_BA,0.666255,3,False,False,unbound
8S6M_IM,ABodyBuilder2,8S6M_IM,0.678252,11,False,False,bound
8TMZ_HL,ABodyBuilder2,8TMZ_HL,0.684012,7,False,False,unbound
9C7X_AB,ABodyBuilder2,9C7X_AB,0.699841,4,False,False,unbound
8FAX_AB,ABodyBuilder2,8FAX_AB,0.702249,9,False,False,unbound
7VUX_HL,ABodyBuilder2,7VUX_HL,0.710921,8,False,False,bound
7UEN_HL,ABodyBuilder2,7UEN_HL,0.727968,7,False,False,unbound
8JYR_HL,ABodyBuilder2,8JYR_HL,0.737931,11,False,False,bound
